Run	thresholds
SRR10600874	0.14
SRR10600875	0.16
SRR10600877	0.1
SRR10600878	0.18
SRR10600879	0.2
SRR10600880	0.14
SRR10600881	0.16
SRR10600882	0.18
SRR10600883	0.16
SRR10600884	0.2
SRR10600885	0.16
SRR10600888	0.14
SRR10600889	0.18
SRR10600890	0.14
SRR10600892	0.14
SRR10600893	0.2
SRR10600894	0.16
SRR10600896	0.08
SRR10600899	0.16
SRR10600900	0.22
SRR10600901	0.14
SRR10600902	0.16
SRR10600903	0.12
SRR10600904	0.14
SRR10600905	0.18
SRR10600906	0.12
SRR10600907	0.12
SRR10600908	0.14
SRR10600909	0.14
SRR10600910	0.16
SRR10600911	0.14
SRR10600912	0.14
SRR10600913	0.14
SRR10600914	0.14
SRR10600915	0.18
SRR10600916	0.1
SRR10600917	0.16
SRR10600918	0.16
SRR10600919	0.14
SRR10600920	0.16
SRR10600921	0.16
SRR10600922	0.14
SRR10600923	0.16
SRR10600924	0.16
SRR10600925	0.14
SRR10600926	0.18
SRR10600927	0.16
SRR10600928	0.16
SRR10600929	0.14
SRR10600930	0.12
SRR10600931	0.16
SRR10600932	0.14
SRR10600933	0.12
SRR10600934	0.12
SRR10600935	0.16
SRR10600936	0.14
SRR10600937	0.16
SRR10600938	0.16
SRR10600939	0.16
SRR10600940	0.14
SRR10600941	0.16
SRR10600942	0.14
SRR10600943	0.14
SRR10600944	0.16
SRR192369	0.18
SRR192370	0.18
SRR192371	0.18
SRR192372	0.18
SRR192373	0.16
SRR28955708	0.2
SRR28955709	0.2
SRR28955710	0.2
SRR29474897	0.18
SRR29474898	0.18
SRR29474899	0.16
SRR29474900	0.18
SRR29474901	0.12
SRR29474902	0.16
SRR29474903	0.16
SRR29474904	0.14
SRR29474905	0.18
SRR29474906	0.14
SRR29474907	0.16
SRR29474908	0.16
SRR29474909	0.16
SRR29474910	0.12
SRR29474911	0.18
SRR29474912	0.14
SRR29474913	0.2
SRR29474914	0.18
SRR29474915	0.16
SRR29474916	0.18
SRR306861	0.18
SRR306862	0.16
SRR306863	0.14
SRR306864	0.2
SRR306865	0.16
SRR306866	0.2
SRR306867	0.18
SRR306868	0.2
SRR306869	0.22
SRR306870	0.2
SRR306871	0.14
SRR306872	0.14
SRR306874	0.18
SRR306875	0.16
SRR306877	0.18
SRR306884	0.18
SRR306885	0.18
SRR306886	0.1
SRR33595210	0.16
SRR33595211	0.16
SRR33595212	0.18
SRR33595213	0.18
SRR33595214	0.16
SRR33595215	0.16
SRR33595216	0.18
SRR33595217	0.18
SRR33595218	0.16
SRR33595219	0.18
SRR33595220	0.18
SRR33595221	0.18
SRR351932	0.12
SRR351933	0.1
SRR352195	0.18
SRR352196	0.16
SRR352198	0.18
SRR352200	0.18
SRR352201	0.22
SRR352202	0.14
